

stn;time;tre200h0
BER;2018070516;20.6
BER;2018070517;18.7
BER;2018070518;18.4
BER;2018070519;18.1
BER;2018070520;17.4
BER;2018070521;17.0
BER;2018070522;16.9
BER;2018070523;16.6
BER;2018070600;16.2
BER;2018070601;15.2
BER;2018070602;14.9
BER;2018070603;15.1
BER;2018070604;15.2
BER;2018070605;15.3
BER;2018070606;15.0
BER;2018070607;15.5
BER;2018070608;15.7
BER;2018070609;16.3
BER;2018070610;16.6
BER;2018070611;17.9
BER;2018070612;18.7
BER;2018070613;18.2
BER;2018070614;17.5
BER;2018070615;17.9
BER;2018070616;18.6
BER;2018070617;19.4
BER;2018070618;19.3
BER;2018070619;18.4
BER;2018070620;16.6
BER;2018070621;15.6
BER;2018070622;15.5
BER;2018070623;15.6
BER;2018070700;15.2
BER;2018070701;14.8
BER;2018070702;14.5
BER;2018070703;13.6
BER;2018070704;13.5
BER;2018070705;13.9
BER;2018070706;14.4
BER;2018070707;14.6
BER;2018070708;16.3
BER;2018070709;18.3
BER;2018070710;21.3
BER;2018070711;22.6
BER;2018070712;23.8
BER;2018070713;24.7
BER;2018070714;25.2
BER;2018070715;24.9
BER;2018070716;24.9
BER;2018070717;24.3
BER;2018070718;23.2
BER;2018070719;21.9
BER;2018070720;19.8
BER;2018070721;17.5
BER;2018070722;15.9
BER;2018070723;15.1
BER;2018070800;15.0
BER;2018070801;13.8
BER;2018070802;13.5
BER;2018070803;13.0
BER;2018070804;13.6
BER;2018070805;13.8
BER;2018070806;16.1
BER;2018070807;18.2
BER;2018070808;20.8
BER;2018070809;22.0
BER;2018070810;23.3
BER;2018070811;24.4
BER;2018070812;24.9
BER;2018070813;25.3
BER;2018070814;25.8
BER;2018070815;25.6
BER;2018070816;25.7
BER;2018070817;25.4
BER;2018070818;24.3
BER;2018070819;22.8
BER;2018070820;20.4
BER;2018070821;18.2
BER;2018070822;17.0
BER;2018070823;17.0
BER;2018070900;16.5
BER;2018070901;15.5
BER;2018070902;14.7
BER;2018070903;13.6
BER;2018070904;13.3
BER;2018070905;13.4
BER;2018070906;16.1
BER;2018070907;19.0
BER;2018070908;20.7
BER;2018070909;22.3
BER;2018070910;23.6
BER;2018070911;24.9
BER;2018070912;25.5
BER;2018070913;25.6
BER;2018070914;26.0
BER;2018070915;25.8
BER;2018070916;25.9
BER;2018070917;25.3
BER;2018070918;24.3
BER;2018070919;22.2
BER;2018070920;19.0
BER;2018070921;16.7
BER;2018070922;15.8
BER;2018070923;14.5
BER;2018071000;14.6
BER;2018071001;13.5
BER;2018071002;13.9
BER;2018071003;13.8
BER;2018071004;13.2
BER;2018071005;13.0
BER;2018071006;14.5
BER;2018071007;17.3
BER;2018071008;19.4
BER;2018071009;21.1
BER;2018071010;21.8
BER;2018071011;22.0
BER;2018071012;22.3
BER;2018071013;22.9
BER;2018071014;23.1
BER;2018071015;22.3
BER;2018071016;21.5
BER;2018071017;21.5
BER;2018071018;21.1
BER;2018071019;19.5
BER;2018071020;18.0
BER;2018071021;17.4
BER;2018071022;16.7
BER;2018071023;16.5
BER;2018071100;15.4
BER;2018071101;14.8
BER;2018071102;13.9
BER;2018071103;12.2
BER;2018071104;11.4
BER;2018071105;11.7
BER;2018071106;13.1
BER;2018071107;14.7
BER;2018071108;16.4
BER;2018071109;17.7
BER;2018071110;18.9
BER;2018071111;19.2
BER;2018071112;20.2
BER;2018071113;21.4
BER;2018071114;21.9
BER;2018071115;21.7
BER;2018071116;21.8
BER;2018071117;21.4
BER;2018071118;20.4
BER;2018071119;18.6
BER;2018071120;16.7
BER;2018071121;15.0
BER;2018071122;14.1
BER;2018071123;13.2
BER;2018071200;12.0
BER;2018071201;11.7
BER;2018071202;10.5
BER;2018071203;9.6
BER;2018071204;9.2
BER;2018071205;9.4
BER;2018071206;12.4
BER;2018071207;15.2
BER;2018071208;17.0
BER;2018071209;19.2
BER;2018071210;20.5
BER;2018071211;21.1
BER;2018071212;22.3
BER;2018071213;23.5
BER;2018071214;24.0
BER;2018071215;24.2
BER;2018071216;24.5
